time,weighted_gamma,gamma,n_word,n_document
2008-10-01,0.011135360465839293,0.011972864524043223,26715,63
2008-11-01,0.013314359294616804,0.012732963166800077,61711,170
2008-12-01,0.013552544381017165,0.01505116260494125,83755,246
2009-01-01,0.016770732486838528,0.016926886319350864,82703,236
2009-02-01,0.021903640850977648,0.01929313760141943,58865,169
2009-03-01,0.0345963720774331,0.03141952810818983,78106,228
2009-04-01,0.022914756839782054,0.022455257548196335,69626,203
2009-05-01,0.030859263404287633,0.029402958178633906,64976,186
2009-06-01,0.04193645045105545,0.04100860739227345,172041,532
2009-07-01,0.03132588886147914,0.02864806544633989,256686,794
2009-08-01,0.025067549056504664,0.024608197965774153,218256,682
2009-09-01,0.027084172170869853,0.025915423591867777,222597,675
2009-10-01,0.024116396791049943,0.024209091918195046,258359,809
2010-01-01,0.0035979614599257505,0.004268294338347811,1251,6
2010-02-01,0.0462255770349494,0.04952988618221561,370,4
2010-03-01,0.07462052202432921,0.05054711055635427,2389,12
2010-04-01,0.006552409127569331,0.0065770303429957475,1081,8
2010-05-01,0.019884311104593995,0.020389791513410516,408,3
2010-06-01,0.006922727411103973,0.007225627130715921,651,5
2010-07-01,0.01448520728385484,0.014867658678058759,3040,22
2010-08-01,0.019405834129590745,0.018667399374183262,4162,28
2010-09-01,0.016861730665066802,0.016235838740468893,3935,24
2010-10-01,0.0238256634828828,0.02429076792074503,6908,38
2010-11-01,0.03226972322146915,0.032624415936467095,7086,34
2010-12-01,0.039901008612153885,0.039373320566995156,7730,34
2011-01-01,0.04787856104263405,0.04909660930488366,9129,38
2011-02-01,0.04606142969012122,0.04496296806684984,6358,27
2011-03-01,0.054161336379471674,0.057551170998820136,27763,85
2011-04-01,0.044729471481762435,0.03932169850221859,176209,509
2011-05-01,0.051073338174042034,0.05126137759402794,65224,202
2011-06-01,0.03121840038975337,0.038430569956826165,42255,130
2011-07-01,0.03505274249974927,0.04370640420037895,61863,176
2011-08-01,0.020194862508606914,0.02522179959152622,62574,189
2011-09-01,0.030907398363567755,0.037578477915641666,44304,146
2011-10-01,0.04396244404173455,0.03605383714428468,67399,204
2011-11-01,0.05194628554330733,0.029272723768627416,98656,289
2011-12-01,0.03457699185097223,0.03277850992675453,89614,220
2012-01-01,0.048540909531681053,0.04907894592372972,129529,251
2012-02-01,0.04639518383993058,0.054912228808623495,150905,313
2012-03-01,0.06595315449552526,0.04944125043287832,182934,381
2012-04-01,0.032424632005920134,0.0325597289901504,197579,438
2012-05-01,0.04523193144023941,0.044759573053244364,190645,397
2012-06-01,0.07734449384549327,0.06066406599008215,137174,332
2012-07-01,0.08278640533829339,0.05175334995592987,195872,415
2012-08-01,0.07246551930520047,0.04991469354732838,197218,423
2012-09-01,0.06231726071995452,0.043649511971007145,247998,541
2012-10-01,0.053968708562775115,0.03633653953480342,495616,1223
2012-11-01,0.04687457345343777,0.037971524297837685,471989,1213
2012-12-01,0.04843603067150375,0.031100023502230734,451169,1082
2013-01-01,0.05131671821704452,0.034347057387752095,452572,1154
2013-02-01,0.05977003575108864,0.0404428988043078,373403,933
2013-03-01,0.05155896961413553,0.03634640141281368,393155,1032
2013-04-01,0.04510704431220388,0.0371668325600007,427470,1122
2013-05-01,0.04187345539987578,0.030807896438725748,403166,1092
2013-06-01,0.03421875601174107,0.03248009177239762,456782,1111
2013-07-01,0.036946915846282694,0.029841549701138528,303637,788
2013-08-01,0.0483303425739194,0.0379663446198809,89399,234
2013-09-01,0.03843377844860702,0.034124673045051776,78360,190
2013-10-01,0.04617650680265747,0.028919966283099865,106488,290
2013-11-01,0.03223528725625401,0.022957075902902486,84591,211
2013-12-01,0.05995643732472105,0.02992152326629154,70218,155
2014-01-01,0.055413019750480956,0.03049465479079865,129027,303
2014-02-01,0.05027025584261794,0.045445332035927405,93525,219
2014-03-01,0.0800423670254014,0.057295185495057015,88962,224
2014-04-01,0.07730409161228806,0.04437845153769058,174728,453
2014-05-01,0.07238103703251252,0.04125913478952901,163775,429
2014-06-01,0.09031687627733369,0.0616321329742138,166092,446
2014-07-01,0.054522000844450774,0.042858193745465276,265884,773
2014-08-01,0.05568228484796723,0.049542868265157386,218724,605
2014-09-01,0.053364587330178036,0.04288231292916417,221550,615
2014-10-01,0.051033684864793656,0.04121960818896708,215062,634
2014-11-01,0.0656134076608653,0.0500337110624279,203108,610
2014-12-01,0.06266973217046613,0.05043760888470557,214693,647
2015-01-01,0.05325034351881254,0.045400809769652176,268702,799
2015-02-01,0.05695208144195116,0.05360613476658595,290707,894
2015-03-01,0.05209860541919745,0.04870627251902108,375442,1145
2015-04-01,0.04542605233198182,0.0449257915486882,387700,1215
2015-05-01,0.0543849877015228,0.04721269882715278,358689,1124
2015-06-01,0.04803608358795566,0.04418988669449867,324846,977
2015-07-01,0.051061464163813235,0.05092586234333707,422862,1239
2015-08-01,0.05260682577140421,0.04776582976598427,364861,1033
2015-09-01,0.050537252737358346,0.04664917360594656,346900,1007
2015-10-01,0.0429739093511936,0.04347371481577941,432173,1278
2015-11-01,0.052912090899210694,0.05451929076383742,366159,1086
2015-12-01,0.06113379058585285,0.059068052819700734,308567,864
2016-01-01,0.045811084176031795,0.0458036106197435,361593,978
2016-02-01,0.044587186571745624,0.04609367967484338,374179,1042
2016-03-01,0.05047096701281903,0.048047630114267804,402846,1231
2016-04-01,0.04829881355815352,0.04645094505301538,508020,1537
2016-05-01,0.05667690592454694,0.05193080996428791,1083438,3197
2016-06-01,0.04769687641967143,0.04777429321249775,1059247,3129
2016-07-01,0.04364234852650779,0.0465972280959111,1143905,3324
2016-08-01,0.04767357450750293,0.04575375837272087,1033042,3013
2016-09-01,0.04963908103626908,0.04693960786402953,927126,2678
2016-10-01,0.040089231279102695,0.038713529915255264,1146449,3188
2016-11-01,0.04088857677805089,0.047802764325878565,1156708,3656
2016-12-01,0.0503432798341405,0.04832896457182375,535185,1578
2017-01-01,0.042163138151924906,0.042279598528807555,458972,1459
2017-02-01,0.03696131965427609,0.0358896670837944,442037,1305
2017-03-01,0.052874396950389035,0.04722366505486168,457587,1401
2017-04-01,0.037757721804861956,0.044452973349177805,1288211,3515
2017-05-01,0.04096200024188793,0.04658404725561592,1352409,3990
2017-06-01,0.0426401188978025,0.04780967309509034,1362792,4202
2017-07-01,0.03950070646580101,0.04255694136371573,1550740,4646
2017-08-01,0.05136013360643041,0.05495780597778363,1474949,4505
2017-09-01,0.059417591933428285,0.060595733354867266,1256546,3933
2017-10-01,0.04409282986471536,0.04641341337014697,1671443,5033
2017-11-01,0.04317325439612168,0.04282972777684394,1413153,4230
2017-12-01,0.04697430928821203,0.049730736878907666,1130618,3415
2018-01-01,0.044757547002694624,0.04630367850796142,1523009,4713
2018-02-01,0.038026106350468596,0.04095674187113368,1425692,4236
2018-03-01,0.04947693958898714,0.05181546121931156,1333511,4097
2018-04-01,0.047010096393421054,0.04495050625040173,1563378,4375
2018-05-01,0.045524218270519244,0.044881848376785674,1497960,4160
2018-06-01,0.04702975647488164,0.05190340797675576,1193446,3560
2018-07-01,0.04337061717792228,0.048221073198517074,615792,2012
2018-08-01,0.037295598213996105,0.038739669589390416,543009,1875
2018-09-01,0.037561151114310354,0.03889087493138147,450024,1537
2018-10-01,0.03951843120002611,0.04095991478014257,680039,2639
2018-11-01,0.03615760192213384,0.0380023474670722,1743460,5101
2018-12-01,0.04191860149730026,0.042781267385348584,1428492,4299
2019-01-01,0.0349703083047251,0.03788662430120767,2046258,5927
2019-02-01,0.032028228707161606,0.034111435283770614,1581935,4309
2019-03-01,0.041861258122476264,0.03988709765823917,1650276,4420
2019-04-01,0.0385255065228127,0.037785979012436445,1991590,5345
